post_id,source_id,source,text,label
6868,-1001409716498,TG,"❇️ Работа на * ЗАВТРА*❇️

Мужчины 👷🏻‍♂️

📍Локация: Индустриальная 30

⏱️ Смены: *с 09:00 до 17:00*
Обед с 12:00 до 13:00, перерывы в течении смены.

ℹ️ Описание: разборка  сборка забора, помощь основным мастерам 

💰 Оплата: 2700р
(Переводом на карту в конце смены)",
3274,-183322855,VK,"Добрый день! В нашу фирму требуются: грузчики, консультанты и сборщики заказов. Смены подстраиваем под ваш график, выплаты з/п каждый день + премии. З/п от 90000 рублей на руки, всему обучим. Пишите в ватсап: +79680529000",
2912,-197559013,VK,"Требуется ученик на отделочные работы. Объекты круглый год! 
Работаем в разных районах города, кроме Пашковского
Сдельная оплата труда
Имею опыт в обучении людей
Инструмент предоставлю
Кого интересует перспектива стать хорошим мастером в отделочных и ремонтных работах, соответственно хорошо и стабильно зарабатывать",
2510,-130305790,VK,Нужно погрузить весь хлам в бэги и вытащить из подвала. Цена?,
5895,-1001233979517,TG,Потом ещё 12 чтобы протолкнуть платеж,
7187,-1002762558087,TG,Один ближайший нужен,
6446,-1001409716498,TG,"Заявка ‼️
На завтра к 8:00 🚨
1 чел, Разнорабчих 
НУЖНЫ ЛЮДИ КОТОРЫ НА ПОСТОЯНКУ ГОТОВЫ 🚨‼️

Суть работы: Монтаж наружных инженерных сетей
Смена: 8 часов 
Оплата: 3400 
Адрес: Аэрапорт работа на постоянку 🚨

Вацап: 89823117682
(НУЖНЫ ПАСПОРТА)",
5652,-1001233979517,TG,"Добавил
Напиши",
557,-167313558,VK,"На завтра примерно с 8:00 до 18 требуется помощник на деревянную беседку, помочь придержать, прикрутить доски
Заберу, отвезу, где договоримся
Оплата 4000 руб",
4211,-164809128,VK,"Здравствуйте. Нужно оштукатурить квартиру под маяк, площадь по стенам примерно 350кв.",
4676,-155018446,VK,"Здравствуйте, нужно наклеить стеновые панели в туалете, размер туалета 150х80х247
Профиль имеется, материалы подсчитаны и тоже имеются
Демонтирую всё сам и подготовлю помещение под вашу работу",
608,-1001233979517,TG,"Ищем работу нас 3 здравых мужика. Разнорабочие, подсобные работы. Умеем работать инструментом.",
1717,-202421839,VK,"В туалете плитка упала 
2 штуки 
Кто может приклеить ?",
5063,-167313558,VK,"Нужно выкопать смотровую яму в гараже, длина 5м, ширина 1,2м, глубина 1,8м.
Грунт тяжёлый с камнями. 
Есть розетка 220 и инструмент, нужны руки. 
Интересует ставка, ни за час, ни за смену, а за выполненный заказ.",
8409,-1001950740300,TG,Старокорсунская: требуется подсобный рабочий для механизированной штукатурки 🏗️. Срок выполнения работ — 5 дней. График работы: с 08:00 до 19:00 (с перерывом на обед) ⏰. Оплата: 3500 за рабочий день 💰. Желателен опыт работы в данной сфере 🛠️.,
8092,-1001503637616,TG,"Краснодар 
Район ЖД Вокзала
Краснодар 1

Сегодня 
К 10:00

Нужен разнорабочий
Ничего сложного

3000 р / 8 часов 

Оплата сразу после работы
Пишите в личные сообщения",
6168,-1001409716498,TG,"Завтра к 9:00
4 человека (желательно с ремнями)

Красных Партизан, 6/2

Выгрузка коробок с оборудованием по 150 кг на 3-х адресах.
Всего 17 коробок.
4 шт выгрузить на 2-й этаж
7 шт на -1 этаж
6 шт на 1 этаж

Оплачивается такси между адресами

700/3

Пишите сколько по времени добираться, номер телефона и напишите есть ли ремни",
4007,-164809128,VK,"День добрый. Нужно утеплить дом, минватой перекрытие + мансарда, примерно 100м2",
4496,-167102108,VK,"Здравствуйте! Ищу мастера по монтажу потолка из гипсокартона в прихожей,частный дом,12 КВ.м.,в п.Дружелюбный. писать в личку.
https://vk.com/id253336056",
8666,-1001950740300,TG,Дармоед сидел бы молчал,
2628,-130305790,VK,"Здравствуйте,сколько стоит демонтировать и кухню в самое ближайшее время.Присылайте цену в комментариях.",
1029,-184532299,VK,привет друзья. Нужна газель и два грузчика. Цена?,
2876,-197559013,VK,"Требуются строители, отделочники и разнорабочие на постоянную основу,ответственные, работа с инструментом. Оплата ежедневно!от 2500!коммунаров 268.",
5029,-167313558,VK,"Кровля любой сложности,ремонт кровли,замена покрытия.Монтаж заборов проф лист,ворота любые,калитки! Меньше слов больше дела.ОПЫТ, ОДЕКВАТНЫЕ ЦЕНЫ.НИКОЛАЙ 89182532926",
2087,-133016868,VK,"НАБОР НА СЛУЖБУ ПО КОНТРАКТУ ‼️

КОНТРАКТ С Министерством обороны РФ❗️Принимаем бойцов из   всех регионов России✊️, иностранцев ✊

👉 Московская область 3млн. ( Принимаем с отношениями, делаем отношения)
👉 Саратов 2 млн 650 тр( отношения)
👉 Оренбург 1 млн 400 тр
👉 Москва 2 млн 300 тр, зп от 260! АФРИКАНСКИЙ КОРПУС 

👉 ХМАО (Нефтеюганск) 4млн 100тр
👉 Нижнекамск 2млн 900тр
👉 Тольятти ОФИЦЕРЫ до 45 лет 1 млн 500 тр
👉 Рязань 2 млн 400 тр
👉 Владимир 2млн 500 тр+ участок 12 соток
👉Липецк 1млн 500 тр + доп экипировка (возможно,  не в зону СВО)
👉 Воронеж 2млн 500 тр (БПЛА Рубикон)
👉 Тамбов 2млн 400 тр
👉 Орел 800 тр, зп 300-400 тр ( тыловая часть 03013)
👉 Нижний Новгород 1млн 500 тр+ участок, стоимостью 1 млн)
АФРИКАНСКИЙ КОРПУС
👉 Якутия 2млн 600 тр
👉 Ростов - на-  Дону  2 млн 400 тр
👉 Смоленск 1 млн 200 тр
👉 Калуга 2 млн 400 тр
👉 Уфа 1млн 800 тр
👉 Иваново 1млн 400 тр
👉Кострома 1 млн 400 тр
👉 Тверь 2 млн 400 тр
👉 Чебоксары 2млн 500 тр
👉 Ярославль 1 млн 100 тр

✅ Рассматриваем Кандидатов с заболеваниями, инвалидностью, судимостью , категорией Д 🤝

👍 Делаем отношения в тыл через Ростов-на-ДОНУ, Орел✊️ 

👍 Принимаем иностранцев 
👍 Покупаем билеты
👍 Встречаем, размещаем, кормим
👍 Сопровождаем на всех ЭТАПАХ
👍 Предоставляем обмундирование 
👍 Делаем Военный билет

‼️ ИНДИВИДУАЛЬНЫЙ ПОДХОД К КАЖДОМУ КАНДИДАТУ 

Обращайтесь в телеграмм, звоните  с 9.00 до 23.00 по Мск

АНАСТАСИЯ  +79952321256
t.me/A2321256",
8499,-1001950740300,TG,Сегодня в любое время 3 человека готовы выйти,
833,-167313558,VK,"срочно требуется три грузчика.
Примерно в 7-8 вечера разгрузить газельку с мебелью холодильник, стиралка, диван.
2 этаж цена?",
3568,-197488759,VK,"Здравствуйте, нужен мастер со своим инструментом прикрутить потолочную гардину, потолок бетон. Предлагайте цену.",
8612,-1001950740300,TG,"на свой страх и риск можете работать, но 50/50, что заказчик выплатит",
1699,-202421839,VK,"Нужно раскидать глину по всему участку 
Участок соток 6",
5144,-167313558,VK,"Здравствуйте. Нужна уборка в квартире . ( кухня , туалет, ванная ) . Сегодня / завтра",
345,-155018446,VK,"когда руководитель что-то втирает тебе за час до конца рабочего дня, а ты уже мыслями дома:",
901,-184532299,VK,"Здравствуйте. В магазине осела входная дверь, кто может подремонтировать?",
5720,-1001233979517,TG,"Завтра  нужен грузчик. Новознаменский (р-н аэропорта). Не много, не тяжелое. Работаем с 9 до 17. В конце смены обычно уходим раньше. Оплата 3000 в конце смены. Вопросы в личку.",
5183,-167313558,VK,"Здрасьте!срочно требуется электрик для установки розеток. Объем работы небольшой, 1 комната. Сделать желательно до завтра",
8670,-1001950740300,TG,Во вторых это за город,
3133,-183322855,VK,"Нужно выложить на следующей неделе плиткой пол в туалете (1кв.м.) и в ванной (2 кв.м.), поверх старой плитки, без демонтажа. Материал мой. Пишите предложения с ценой.",
2117,-133016868,VK,"Нужно разобрать пол, таких 3 комнаты. И вынести на мусорку. Пишите цену",
241,-164809128,VK,"Нужно положить керамогренит 60*60, толщина 2 см! 13 м2",
920,-184532299,VK,"Добрый день. На текущее время нужны грузчики, спустить доски с 4 этажа",
3702,-158738864,VK,"Срочно требуются упаковщики комплектовщики на сбор заказов и помощь в отгрузке на завтра и послезавтра. Работа 8 часов, оплата за день 3000 руб. Адрес клада: Индустриальный, Перспективная 315. Звоните 89180391702",
5544,-1001233979517,TG,"🌇Работа 🌆 Сейчас!
🔥Оплата 1500 после работы, переводом на карту. 
🔥Разгрузить машину с детскими игрушками
🚧Тургеневское шоссе 12 а
  
⏱️ 4 рабочих часа, далее 400 р час
Осталось 2 места📍📍📍 
☎️Запись по телефону 
89628592376
Олеся",
8195,-1001503637616,TG,Заявка актуальна,
7047,-1002762558087,TG,"на ближайшее время
‎новознамеский 
‎рубиновая
‎перевозка земли(в помощь другим) 
‎возможно закончите раньше
‎3500/8",
298,-133016868,VK,"Здравствуйте. Нужно снять по полторы плитки с короба, чтобы добраться до труб. Под плиткой клей и гипсокартон. Цена вопроса?",
1538,-220419216,VK,"🇷🇺СЛУЖБА ПО КОНТРАКТУ 
от Министерства Обороны РФ 🇷🇺
Открыты направления : 

        ‼️Москва ‼️
Единовременная выплата
       📌  3 000 000
Принимаем по отношению - делаем отношения.
Отношения в тыловую часть .
📌ЗП.  От 260 000(ежемесячно)

‼️Единовременные выплаты за подписание контракта ‼️
📍Балашиха- 3.000.000( отношения)
📍Набережные челны -2.900.000(отношения)
📍Чебоксары  -2.500.000(решим всё)
📍Москва - 2. 300. 000
📍Кострома -1.400.000(без документов)
📍Иваново -1.400.000( Оператор БПЛА, сифилис, туберкулёз)
📍 Воронеж-2.500.000 Оператор БПЛА
     📍 Якутск - 2600 000 ( Оператор БПЛА)
Делаем отношения, принимаем со своим 

Месячная зарплата: 210 000- 560.000 

🔴ГРАЖДАНЕ 18-63 ЛЕТ С ПРОПИСКОЙ РФ
✔️Принимаем с категорией: А, Б, В и БЕЗ ВОЕННОГО БИЛЕТА
✔️Принимаем с СУДИМОСТЬЮ! ( Подследственных и с непогашенной судимостью)
✔️Принимаем ИНОСТРАНЦЕВ!
✔️Принимаем Гепатит,ВИЧ, сифилис, туберкулёз 

Если есть водительские права категории С, D, E- будете водителями! 

 
📝Срок действия контракта: от даты до даты . 
▶️БЕСПЛАТНЫЙ ПРОЕЗД из вашего города РФ до места, проживания,питанг

✅Срок контракта: 1 год, отпуск каждые 6 месяцев (14 дней, без учета дней на дорогу)

 ‼️‼️ РАССМОТРИМ  ГЕПАТИТ  А Б С,
ВИЧ

WhatsApp\Telegram +7 922 137 28 36

t.me/+79221372836

wa.me/79221372836
 (круглосуточно можно писать).
☎ (Звонки принимаются с 7:00 до 19:00  МСК времени)
vk.com/id883142029",
8139,-1001503637616,TG,"На 12:00
Посёлок Российский. 
ул Пинская 27/1

Три Разнорабочих на демонтаж тротуарной плитки. 
180-200 квадратов. 

Монтировка, кирка и т.п имеется у клиента. 

Цена 3200 руб каждому.",
718,-1001950740300,TG,"Пирог стен :Шпатлевка стен на здир наклейка обоев покраска 2 слоя стен 800 рублей 9000квадратов
Шпатлевка потолков с покраской - 850 р кв.м.1000кв
Кафельщики  - 1500 р. кв.м.плитка 600 на 600 1500квадратов 
Кварцвинил - 350 р. кв.м. 1500 кв
Откосы - 5000 р. п.м.
Город геленжик 2 разовое питание 
Гостиница на берегу моря объёмы огромные 
По всем вопросам обращаться дмитрий 
89094651280
ЗВОНИТЬ!!!! НЕ ПИСАТЬ!!!!",
4069,-164809128,VK,"🇷🇺СЛУЖБА ПО КОНТРАКТУ от Министерства Обороны РФ🇷🇺 
 
Звонить по номеру 
-7951 789 46 58 
Макс max.ru/u/f9LHodD0... 
ТГ t.me/irina1994gn 
 
‼Выписываем отношение 
-Снайпера 
-Морская пехота 
-БПЛА 
-Тыл 
-Водители (А,В,С) 
 
⚡Чебоксары 
- Единовременная выплата 2 500 000 
- Медкомиссия лояльная 
- Принимают СНГ ( русскоговорящих) 
- Военный билет делают 
- Порог по возрасту 63 года 
Отношения Делаем 
❗️Снайпера 
❗️БПЛА 
❗️Морская Пехота 
Гепатит+Вич 
 
⚡Воронеж 
- Единовременная выплата 2 500 000 
- Медкомиссия лояльная 
- Принимают СНГ ( русскоговорящих) 
- Военный билет делают 
- Порог по возрасту 63 года 
-Документы восстанавливают 
Делают отношения на БПЛА 
Отношения НЕТ ❌ 
Заболевания НЕТ ❌ 
 
⚡Иваново 
- Единовременная выплата 1 400 000+земельный участок 
- Медкомиссия лояльная 
- Принимают СНГ до 45 лет 
- Военный билет делают 
- Порог по возрасту 63 года 
-Заболевания Вич ,Гепатит ✅ 
-Остальные заболевания по согласованию 
Отношения НЕТ❌ 
 
⚡Якутск 
- Единовременная выплата 2 600 000 
- Медкомиссия лояльная 
- Принимают СНГ до 50 лет 
- Военный билет делают 
- Порог по возрасту 59 года 
-Заболевания Вич ,Гепатит ✅ 
-Остальные заболевания по согласованию 
Отношения НЕТ❌ 
 
⚡Кострома 
- Единовременная выплата 1 400 000 
- Медкомиссия лояльная 
- Принимают СНГ до 50 лет 
- Военный билет делают 
- Порог по возрасту 63 года 
-Документы восстанавливают 
Отношения НЕТ❌ 
Заболевания НЕТ❌ 
 
⚡Тверь 
Единовременная выплата 2 400 000 
- Медкомиссия лояльная 
- Принимают СНГ до 50 лет ( Паспорт,снилс❗) 
- Военный билет делают 
- Порог по возрасту 63 года 
-Документы восстанавливают 
Отношения НЕТ❌ 
Заболевания НЕТ❌ 
 
⚡️Оренбург 
Единовременная выплата 1 400 000 
Возраст 18-59. 
ВВК лояльная ( заболевание и шрамы по согласованию) 
Не берут- ВИЧ, гепатит, туберкулез 
Комплектуем: 
*12 ГУМО* 
- контракт заключается от 1 года. 
 
⚡📍Балашиха 
Единовременная выплата 3 000 000 
 
. до 55 лет ( старше по согласованию) 
. ввк строгая ‼ 
. снг принимают ( паспорт , миграционная карта) 
. принимают по отношению в определенные части 
. африканский корпус 
. многодетные отцы ❌ 
 
‼Звонить по номеру 
-7951 789 46 58 
Макс max.ru/u/f9LHodD0... 
ТГ t.me/irina1994gn",
5637,-1001233979517,TG,@GRUZRF77 кто нибудь работал с ним?,
4478,-167102108,VK,"Требуются монолитчики 
Арматурщики ,плотники ,сварщик 

Объект Геленджик 
Билеты компенсируем 

Жилье 
Трёх разовое питание без вычета с зарплаты 

Зарплата 7 тыс в день выплаты каждую неделю 
На второй день аванс по 10 тыс руб 
Солнце ,море и хорошая работа .

Прямой работодатель 
Директор строительной компании 
Станислав 
89055467585",
7792,-1001503637616,TG,"В течение полу часа 

Петра метальникова 36

Два человека
Спустить и загрузить строительный мусор в машину, Подмести 
Оплата 1500 каждому",
5536,-1001233979517,TG,"Доброе утро!
На сегодня на 9:00 1 грузчик 
Магазин Мегахенд 
Загрузить мешки с одеждой оплата 500руб/1час 
Оплата на месте.",
1391,-220419216,VK,На сегодня нужен слесарь . Забилась раковина,
2696,-197559013,VK,"ЗАЯВКА ‼️
На завтра к 8:00
4 чел разнорабочие

Суть работы: грузчики, разнорабочка
Адрес: Хладокомбинат 
Знаменский, свободы 7
Смена 8 часов
Оплата: 2700
Переработка 300 час",
2283,-133016868,VK,"❗❗ Срочно - Добровольцы на контракт с МО РФ - Самые высокие выплаты + льготы от государства❗❗ 

❗️Берем на оператора БПЛА / водителей гуманитарки / артиллерия / охрана спец.объектов

- Проезд БЕСПЛАТНО из любого города! 
- Официальный контракт с Минобороны РФ

- После подписания контракта  3 000 000р. (от МО РФ - 400 000р., плюс 2 600 000р. региональные). 
- Далее ЗП от 210 000р. - 420 000р. в месяц и выше в зависимости от региона службы и выполняемых задач. Всего за Год контракта - 
до 8 000 000р. ❗❗❗ 
 
- Без опыта армии (обучим на месте) 
- Оформление (1-2 дня) 
- Иностранцы 
- С ограничениями по здоровью
- Делаем отношения/Берем с отношением

☎ Отдел персонала 
8 937 131 80 07

❗ Внимание! Пишите на Ватсап 👉 https://wa.me/79371318007, очень много звонков.",
5551,-1001233979517,TG,Приветствую. ВПН есть рабочий у кого нибудь?,
7200,-1002762558087,TG,"К 8
Один человек 
Грузить мебель 
Сбс
500/2",
6540,-1001409716498,TG,Забрали,
5069,-167313558,VK,"Парни нужна Ваша помощь одинокой девушке
 Нужно вынести мусор на мусорку , до мусорки 30 метров от подъезда , 10 этаж , лифт работает ( фото 2 , в подъезде ) 
Оплата 8 тысяч",
7838,-1001503637616,TG,"На сейчас 1 грузчик 
20+
Сильные, выносливые, ответственные 

Носить, переносить диван.

Работы на час-2 максимум 

Оплата 1000

40 летия Победы 

К 9",
152,-183322855,VK,"ТРЕБУЕТСЯ МАШИНИСТ ЭКСКАВАТОРА-ПОГРУЗЧИКА. 

✔️Заработная плата: от 150.000₽ 
✔️Опыт работы: от 1 года

🚜Экскаватор: LGCE 877 (новый)

☑️Занимаемся строительством наружных инженерных сетей.
✔️Командировки по Краснодарскому краю, жилье предоставляется, 
✔️Выплата командировочных.
✔️Возможно Официальное трудоустройство. 

ЗВОНИ и узнавай подробнее: 89231676111 (Алексей)",
628,-1001409716498,TG,"Завтра к 10:30
2 человека
С паспортами РФ (18+)

Индустриальная, 10

Перемещение и размещение бумаги и оргтехники по складу. 

Работы часа на 4.

500/2

Пишите сколько по времени добираться, фото паспорта для пропуска, номер телефона",
6627,-1001409716498,TG,"На завтра к 8.50 нужно
2 крепких человека,
Ул. Скульптора коломийцева 90 склад 6/1 (склад сантехники ) ставка 400/4",
6926,-1001409716498,TG,"В течение полу часа

Один человек
Серебрякова 3к3

Спустить и загрузить строительный мусор в машину
500 /2",
6725,-1001409716498,TG,"На завтра
К 8:00
2 человека
Рашпилевская 345
Уборка территории (расчистить дорожку из тротуарной плитки, ничего сложного, могу в личку видео кинуть)
3000/8",
8618,-1001950740300,TG,"Помогаем взять кредит
От 23 лет 
Кредитная нагрузка до 1.5млн 
Без действующих просрочек по кредитам",
3496,-197488759,VK,Прикрепить гардину к стене .3 держателя .цена?,
3355,-197488759,VK,"Доброе утро.
Штукатурка 2х стен по маякам. Частично сами пытались делать, но нет совсем времени закончить. Материал с нас. Сколько будет стоить и когда можете посмотреть объем?",
6641,-1001409716498,TG,"Сегодня к 10:30
1 человек
Клиническая больница РЖД-Медицина г.Краснодар ЧУЗ
Краснодар, ул Московская, дом № 96
Выгрузить коробки с медикаментами. 
Оплата 400/2

Закрыт",
8929,-1001950740300,TG,Нашёл,
4488,-167102108,VK,"Всем привет! Нужны люди на монолит с опытом работы Анапа. Проживание гостиница, трех разовое питание. за день 5000, выплаты каждые 10дней авансирование 10000т на третий день Алкаши,нарки мимо ватсап 89280441809",
3477,-197488759,VK,"Здравствуйте, нужна помощь сделать короб на кухне, спрятать трубы и перенести бойлер на другую стену. Инструмента нет, нужен Ваш. Вот пример работы. Сколько будет стоить и кто сможет сделать?",
2766,-197559013,VK,Требуется человек на обрешётку под МДФ примерно 20кв ФМК по ул Рашпилевской 89180987754,
4845,-155018446,VK,"Здравствуйте, нужно прополоть траву, выкорчить 3 дерева, вывести весь мусор, разровнять, перекопать огород",
3282,-183322855,VK,"❗❗ Срочно - Добровольцы на контракт для МО РФ - Высокие выплаты ❗❗
Полное обеспечение, питание, проживание, премии, простое оформление! Проезд БЕСПЛАТНО из любого города!

✔- После подписания контракта 2 800 000 р. ❗ ❗❗

( После подписания контракта с МО РФ - 400 000 р от МО плюс 3 600 000 р региональные.
Итого - 2 800 000 р ).

✔- Далее ЗП от 210 000 р - 320 000 р в мес и выше в зависимости от региона службы и выполняемых задач .
Всего за Год контракта - 5 320 000 р ❗❗❗

✔ - Отправка через военкомат г. Казани из любого региона.
Проезд, проживание, трёхразовое питание, всё бесплатно

✔ - Официальное оформление , Ваша карта защищена

✔ - Плюсом идет бронь на работу

✔ - Все стандартные льготы от государства как для военнослужащих (на жилье, здоровье, образование и т.д.)

Требования: хорошее здоровье
Набор ограничен!

☎ Отдел персонала

8 920 039 80 09

Внимание! Пишите на Ватсап, очень много звонков. ❗❗",
6502,-1001409716498,TG,Закажем такси 🚕,
5167,-167313558,VK,"1. Необходимо уложить ламинат 40 м2
2.Требуется сантехник укоротить раструб",
8415,-1001950740300,TG,"Школьная 19 заявки закрыты, всём спасибо",
8214,-1001503637616,TG,"На ближайшее время 
 
Требуются - 2 грузчика.

Адрес : демуса 60/1

Обязанности: 
Разгрузка, погрузка товара с авто и в авто
Помощь остальным сотрудникам.

До - 19:00

Оплата : 3400",
5175,-167313558,VK,"Нужно демонтировать штукатурку со стен, квартира 70кв.м. Цена?",
2140,-133016868,VK,"Подключить 2 розетки . 
Сделать нормальный пакет. 
Цена?",
6790,-1001409716498,TG,"02.12 завтра к 8:45 

Надо 4 человека 

на выгрузку кроватей 

по адресу: г. Краснодар, Ул. Юнатов 25. 

Оплата 450р в час /2 минималка, там сколько по факту выйдет. 

Кто готов пишем в личку",
7789,-1001503637616,TG,"Понедельник, 22.09.2025, 1 человека к 9:00, г.Краснодар, посёлок Плодородный, д.20, ост.микрорайон Плодородный (+ автобус 30мин)

💥Добраться можно от микрорайона Плодородный на автобусе №46 в направлении ""Коттеджный посёлок Крепость"", до ост.Поселок Плодородный (в пути 30 минут).
💥С собой паспорт для КПП

Разгрузка фуры примерно 160 единиц, коробок с тканью и рулонов, выгрузить и занести на склад (вес ед. до 25 кг). Пронос около 10 метров. Будет в помощь человек со стороны заказчика. 

✅Ставка 400р/час, минималка 3 часа. 
 
🔥Сразу присылайте паспорт и номер телефона.",
3283,-183322855,VK,"Срочно требуются на подработку грузчики, сортировщики и уборщики. Заработная плата составляет от 4000 рублей за смену. Мы предоставим форму и обеды. Оплата производится ежедневно. Медицинская книжка не требуется. Пишите на WhatsApp: +79651595000",
8588,-1001950740300,TG,Едем работу на сейчас нас двое писать в лс +7 (961) 597-38-31 или звоните,
3922,-158738864,VK,"В частном доме нужно высверлить 1 отверстие диаметром 150мм, толщина стены 60 (кирпич). 
Со своим инструментом. Отбойник не подойдет! 
Сегодня/завтра. Территориально - Яблоновский.
89580115073 ватсап",
2516,-130305790,VK,"Нужно прогнать воду в каждом контуре, 4 контура, теплый пол. Сколько возмете по деньгам ?",
6981,-1002762558087,TG,"на сегодня
‎к 8:00
‎1 чел
‎демуса 60/1
‎работа на складе мебели 
‎в разобранном виде
‎погрузка разгрузка сортировка
‎3400",
2281,-133016868,VK,"Вынести мусор на помойку, есть ""тачка"". 
Помойка в 150-200 метрах. Цена?",
6038,-1001233979517,TG,"продам комп с монитором 165 гц 50.000₽
все в лс",
5953,-1001233979517,TG,"Срочно в продаже айфон 14 про макс 256,79% в хорошем состоянии срочно!цена 40т торг!!!",
5169,-167313558,VK,"🔥 Нужны мужчины в ПВО часть ( Противовоздушная оборона) — ТЫЛ

❗Спокойная, но очень важная тыловая работа с техникой. Открыты места на БПЛА и водителей.

Сразу после оформления — до 3 млн ₽  
Зарплата — от 210 000 ₽/мес.

Что даем:
• Бесплатный переезд, жильё, питание
• Долги помогают списать
• Земля в крае + льготы семье

ПВО — это не передовая. Это защита неба.

Пиши в личку «ПВО»*— расскажем детали и подберём вариант.

🚨Места ограничены. Всего осталось (4 места )

Обращаться / Дмитрий  👇

🔻Вк: https://vk.ru/id1097985484
🔻Телеграм: https://t.me/clyjba 
☎️ Звонок +79330505045",
6324,-1001409716498,TG,"На ближайшее
  
ДИНСКАЯ
6 грузчиков.

До 20
Обед+Перекуры.
Погрузка:Печенье,кексы,рулеты, конфеты.

2700 по окончанию
18+",
6103,-1001233979517,TG,"Платные заявки не оплачивают , поэтому и блокирую",
6309,-1001409716498,TG,"На ближайшее время 
Динская

4 мужчины
 до 20:00

По 3000₽ по окончанию смены
Комплектация, укладка продукции на поддоны и перемещение на склад : кексы, печенье, конфеты 

Отправлю на такси
18+паспорта",
8724,-1001950740300,TG,"Почему, работает еще нужно 1",
8552,-1001950740300,TG,"Требуются рабочие с опытом работы на монолитном строительстве (вязка/резка арматуры, подготовка к заливке бетона/заливка бетона).
Объект: г.Ульяновск, Транснефть (фундаменты под резервуары)
Условия:
Раб.смена с 8.00 до 19.00 (обед:1 час)
Оплата за смену 5000 руб.
Закрытие каждые 2 недели
Предоставляем: проезд до объекта, проживание в квартире, спец.одежду, инструмент. Питание или выдаются суточные.
Проверка СБ в течение 3-5 рабочих дней.
Обращаться по тел.: 89033985137(звонок, watsapp) пн-пт  9.00-16.00 мск  Ольга Владимировна",
595,-1001233979517,TG,В лс,
5757,-1001233979517,TG,Ищу работу на постоянке на лето,
8697,-1001950740300,TG,"Требуется люди на гидроизоляцию стен,галтель,опалобачные отверстия,проникающая смесь стен,пеноплэкс, монтаж плантера,инструмент предоставляется,обучение,оплата труда сдельная,Звонить 89282551427 Алексей на нем же max,или писать в ЛС в телеграмм.",
8301,-1001950740300,TG,"В Гастро бар ""Соседи"" на  подработку требуется:
Хостес. График пт- вс. С 12:00 до 24:00. 
З/п: 3000 р выход.
Предоставляем развоз и питание.",
2870,-197559013,VK,Требуются отделочники!оплата сдельная!одесская 48.,
1984,-202421839,VK,"Необходимо выровнять землю вдоль забора для длинной клумбы. Работы на целый день думаю, 3000р",
2419,-130305790,VK,Необходимо отштукатурить и сделать гидроизоляцию задней стены гаража.,
